angle,t_count_x,t_count_2x,len_x,len_2x
3.8687696217985157,48,46,71,74
3.874052807105695,48,46,71,76
3.8793359924128747,50,46,72,76
3.8846191777200545,52,50,76,75
3.8899023630272338,52,50,79,75
3.8951855483344136,52,50,73,74
3.9004687336415929,48,54,77,83
3.9057519189487726,52,54,81,83
3.9110351042559524,50,54,80,83
3.9163182895631317,50,50,83,72
3.9216014748703114,52,50,75,78
3.9268846601774912,52,50,77,78
3.9321678454846705,48,50,74,78
3.9374510307918502,52,52,80,72
3.9427342160990295,52,50,84,79
3.9480174014062093,48,50,82,79
3.953300586713389,52,50,81,79
3.9585837720205683,50,50,78,77
3.9638669573277481,50,44,72,63
3.9691501426349278,48,44,70,63
3.9744333279421071,52,44,80,63
3.9797165132492869,48,52,73,79
3.9849996985564666,50,52,76,79
3.9902828838636459,50,52,79,79
3.9955660691708257,54,52,88,79
4.0008492544780054,52,52,81,71
4.0061324397851852,50,52,74,71
4.011415625092364,48,52,81,71
4.0166988103995438,50,52,78,71
4.0219819957067235,52,52,92,75
4.0272651810139033,50,52,72,75
4.032548366321083,50,52,86,75
4.0378315516282619,50,52,79,75
4.0431147369354417,48,52,60,86
4.0483979222426214,50,52,76,86
4.0536811075498012,52,52,84,86
4.0589642928569809,48,52,80,86
4.0642474781641607,52,52,83,84
4.0695306634713395,50,52,78,84
4.0748138487785193,48,52,73,84
4.080097034085699,48,50,77,82
4.0853802193928788,52,48,78,76
4.0906634047000585,50,48,80,76
4.0959465900072374,48,48,75,76
4.1012297753144171,50,52,79,83
4.1065129606215969,50,50,80,78
4.1117961459287766,50,50,81,78
4.1170793312359564,50,50,79,78
4.1223625165431352,50,48,82,75
4.127645701850315,48,52,69,79
4.1329288871574947,46,52,70,79
4.1382120724646745,52,52,77,79
4.1434952577718542,50,52,81,73
4.148778443079034,50,52,80,73
4.1540616283862128,48,52,70,73
4.1593448136933926,52,52,83,73
4.1646279990005723,50,52,83,84
4.1699111843077521,52,52,76,84
4.1751943696149318,50,52,76,84
4.1804775549221107,50,52,81,84
4.1857607402292905,50,50,71,81
4.1910439255364702,50,50,76,81
4.19632711084365,50,50,81,81
4.2016102961508297,52,50,84,81
4.2068934814580095,50,50,73,78
4.2121766667651883,46,50,68,78
4.2174598520723681,50,50,79,78
4.2227430373795478,52,50,84,78
4.2280262226867276,50,50,79,72
4.2333094079939073,52,50,80,72
4.2385925933010862,46,50,70,72
4.2438757786082659,52,50,80,72
4.2491589639154457,52,50,78,82
4.2544421492226254,50,50,78,82
4.2597253345298052,50,50,76,82
4.2650085198369849,44,50,72,82
4.2702917051441638,52,50,87,77
4.2755748904513435,50,50,81,77
4.2808580757585233,46,50,69,77
4.286141261065703,50,50,76,77
4.2914244463728828,50,48,74,76
4.2967076316800616,50,48,77,76
4.3019908169872414,52,48,82,76
4.3072740022944211,50,48,81,76
4.3125571876016009,50,52,74,75
4.3178403729087806,48,52,79,75
4.3231235582159604,50,52,73,75
4.3284067435231393,50,50,77,75
4.333689928830319,48,50,74,75
4.3389731141374988,48,50,70,75
4.3442562994446785,48,50,70,75
4.3495394847518583,50,50,72,75
4.3548226700590371,52,48,80,71
4.3601058553662169,52,48,74,71
4.3653890406733966,50,48,74,71
4.3706722259805764,52,50,78,71
4.3759554112877561,52,50,86,71
4.381238596594935,52,50,76,71
4.3865217819021147,48,50,73,71
4.3918049672092945,50,50,66,71
4.3970881525164742,52,50,74,79
4.402371337823654,50,50,75,79
4.4076545231308337,48,50,74,79
4.4129377084380126,48,52,84,78
4.4182208937451923,50,52,74,78
4.4235040790523721,50,52,76,78
4.4287872643595518,50,52,75,78
4.4340704496667316,50,50,77,77
4.4393536349739104,50,50,76,77
4.4446368202810902,50,50,79,77
4.4499200055882699,50,50,76,77
4.4552031908954497,52,50,88,79
4.4604863762026294,52,50,80,79
4.4657695615098092,48,50,70,79
4.4710527468169881,52,50,79,79
4.4763359321241678,48,50,72,79
4.4816191174313476,50,48,80,74
4.4869023027385273,52,48,84,74
4.4921854880457071,50,50,82,75
4.4974686733528859,50,50,77,75
4.5027518586600657,52,50,82,75
4.5080350439672454,50,50,73,75
4.5133182292744252,50,50,79,75
4.5186014145816049,52,54,84,86
4.5238845998887847,50,54,73,86
4.5291677851959635,52,54,74,86
4.5344509705031433,50,50,83,73
4.539734155810323,50,50,77,73
4.5450173411175028,52,50,82,73
4.5503005264246825,52,50,84,73
4.5555837117318614,52,50,82,73
4.5608668970390411,44,48,68,71
4.5661500823462209,52,48,82,71
4.5714332676534006,48,48,71,71
4.5767164529605804,52,50,78,80
4.5819996382677601,50,50,76,80
4.587282823574939,48,50,74,80
4.5925660088821187,52,50,77,80
4.5978491941892985,48,50,74,80
4.6031323794964782,52,52,76,84
4.608415564803658,52,52,73,84
4.6136987501108369,50,52,80,84
4.6189819354180166,50,50,70,75
4.6242651207251964,50,50,83,75
4.6295483060323761,52,50,73,75
4.6348314913395559,50,50,76,75
4.6401146766467356,50,50,78,75
4.6453978619539145,50,50,77,75
4.6506810472610942,48,50,75,75
4.655964232568274,52,50,81,82
4.6612474178754537,48,50,70,82
4.6665306031826335,50,50,81,82
